tag,split,region,count,mean_px,median_px,p90_px
exp007,linemod,all,440940,0.0770,0.0572,0.1382
exp007,linemod,interior,167165,0.0747,0.0569,0.1352
exp007,linemod,normal_boundary,272659,0.0785,0.0573,0.1401
exp007,linemod,occlusion_boundary,1116,0.0621,0.0491,0.1146
exp007,occ,all,250033,0.1533,0.1070,0.3160
exp007,occ,interior,69280,0.1539,0.1108,0.3193
exp007,occ,normal_boundary,168324,0.1487,0.1045,0.3044
exp007,occ,occlusion_boundary,12429,0.2130,0.1245,0.4862
