tag,split,region,count,mean_px,median_px,p90_px
controlA,linemod,all,440940,0.0750,0.0546,0.1356
controlA,linemod,interior,167165,0.0730,0.0550,0.1329
controlA,linemod,normal_boundary,272659,0.0762,0.0544,0.1372
controlA,linemod,occlusion_boundary,1116,0.0601,0.0501,0.1112
controlA,occ,all,250033,0.1507,0.1023,0.3145
controlA,occ,interior,69280,0.1514,0.1041,0.3214
controlA,occ,normal_boundary,168324,0.1460,0.1002,0.3034
controlA,occ,occlusion_boundary,12429,0.2108,0.1254,0.4792
