tag,dist_bin_px,n_images,n_votes,dir_mean_deg,dir_median_deg,e_vote_mean,endp_mean_px
ref199,0-2,9,4654,8.196,3.608,2.711,0.1429
ref199,2-5,9,7775,7.328,3.219,2.410,0.1263
ref199,5-10,9,14040,5.890,2.790,1.942,0.1042
ref199,10-20,9,26284,4.404,2.369,1.490,0.0810
ref199,20-inf,7,30306,3.522,1.885,1.243,0.0666
