condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C1_D0_real,control,,n/a,n/a,24,color_00028.png,16.1687,126.94,127.3538,4.8280,0,0,0,0,5.744700,2.426908,3.317792,6.642455,5.744700,2.525871,25.608541,12.133638,2.1105,10.3777,5.8072,5.8072,0,0,0,1
C1_D0_real,control,,n/a,n/a,25,color_00029.png,9.4683,141.49,141.5457,3.5085,0,0,0,0,4.365917,0.595523,3.770394,4.721047,4.365915,2.079436,13.820875,4.143356,3.3357,6.9292,4.6668,4.6668,0,0,0,1
C1_D0_real,control,,n/a,n/a,26,color_00030.png,6.2135,90.44,90.4756,1.8746,0,0,0,0,2.508644,0.436944,2.071700,2.763540,2.508642,0.491371,5.148676,2.247030,2.2913,4.2095,2.4243,2.4243,0,0,0,1
C1_D0_real,control,,n/a,n/a,27,color_00031.png,5.6913,42.67,42.7437,1.6895,0,0,0,0,2.126329,0.377484,1.748846,2.488353,2.126328,1.393204,3.531400,0.719482,4.9083,4.2848,1.9856,1.9856,0,0,0,1
C1_D0_real,control,,n/a,n/a,28,color_00032.png,7.5996,16.58,16.9487,1.7307,0,0,0,0,2.195664,0.345309,1.850354,2.569589,2.195663,1.265842,4.691292,0.309140,15.1753,4.5390,1.8143,1.8143,0,0,0,1
C1_D0_real,control,,n/a,n/a,29,color_00033.png,9.3608,8.63,9.7330,2.1799,0,0,0,0,2.575138,0.394374,2.180764,2.946221,2.575140,1.477527,6.244021,0.253111,24.6691,4.7114,2.0611,2.0611,0,0,0,1
C1_D0_real,control,,n/a,n/a,30,color_00034.png,9.3976,21.79,22.1992,2.2536,0,0,0,0,2.666643,0.201033,2.465609,3.055752,2.666641,1.576839,6.388682,0.462519,13.8128,4.6470,2.2043,2.2043,0,0,0,1
C1_D0_real,control,,n/a,n/a,31,color_00035.png,3.5995,36.33,36.3702,1.2956,0,0,0,0,1.565301,0.256113,1.309188,1.746542,1.565303,1.175680,1.345984,0.322200,4.1775,2.9198,1.4653,1.4653,0,0,0,1
C1_D0_real,control,,n/a,n/a,32,color_00036.png,4.9872,20.76,20.8787,1.2906,0,0,0,0,1.601124,0.306850,1.294274,1.793952,1.601125,0.915604,2.125766,0.254165,8.3637,2.9277,1.2437,1.2437,0,0,0,1
C1_D0_real,control,,n/a,n/a,33,color_00037.png,6.5717,37.49,37.6580,2.4986,0,0,0,0,2.876114,0.308048,2.568066,3.056939,2.876114,2.073688,4.267054,0.777643,5.4872,4.5969,2.9249,2.9249,0,0,0,1
C1_D0_real,control,,n/a,n/a,34,color_00038.png,7.2638,29.80,30.1641,2.7390,0,0,0,0,3.396210,0.594529,2.801680,3.593066,3.396212,1.818067,7.895618,1.709141,4.6196,5.2969,3.7472,3.7472,0,0,0,1
C1_D0_real,control,,n/a,n/a,35,color_00039.png,9.5098,62.19,62.4112,2.7158,0,0,0,0,3.182493,0.514345,2.668147,3.566429,3.182495,1.583968,7.448271,2.762195,2.6965,6.3176,2.8674,2.8674,0,0,0,1
C1_D0_real,control,,n/a,n/a,36,color_00040.png,9.1589,57.28,57.5426,2.6806,0,0,0,0,3.102673,0.367699,2.734974,3.479079,3.102674,1.343553,7.420012,2.878844,2.5774,5.1897,3.4134,3.4134,0,0,0,1
C1_D0_real,control,,n/a,n/a,37,color_00041.png,9.7482,46.35,46.5903,2.7882,0,0,0,0,2.996508,0.526232,2.470276,3.364686,2.996515,2.132134,5.685179,1.089940,5.2160,6.2417,2.8416,2.8416,0,0,0,1
C1_D0_real,control,,n/a,n/a,38,color_00042.png,10.9441,31.04,31.4385,3.2345,0,0,0,0,3.494648,0.420962,3.073686,3.807877,3.494650,2.600671,6.644921,1.091512,6.0878,5.7615,3.3593,3.3593,0,0,0,1
C1_D0_real,control,,n/a,n/a,39,color_00043.png,176.2012,2547.65,2548.8718,2.6271,1,1,1,1,2.612415,0.855895,1.756520,2.969037,2.612415,1.765148,4.648953,1.050479,4.4256,5.6248,2.4061,2.4061,0,0,0,1
C2_D1_real,control,,n/a,n/a,20,color_00024.png,165.5574,3383.09,3384.2266,13.2017,1,1,1,0,15.991409,6.394991,9.596418,17.658430,15.991414,12.775219,87.515251,61.098680,1.4324,26.9732,16.2163,16.2163,0,0,0,1
C2_D1_real,control,,n/a,n/a,21,color_00025.png,147.4644,1012.62,1013.2905,400.2365,1,1,0,0,398.068348,3.802835,394.265513,399.564555,398.068348,397.610833,1203.804896,353.654724,3.4039,450.1213,391.1811,391.1811,1,1,0,1
