condition,image_id,rgb,keypoint_mean_error_px,keypoint_median_error_px,keypoint_p90_error_px,rotation_error_deg,translation_error_mm,add_mm,add_pass,mean_reprojection_error_px,median_reprojection_error_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,pnp_ok
C2_D1,26,color_00030.png,2.6990,2.1596,4.2709,6.9669,86.25,86.3061,0,2.5197,2.2875,0,0,0,0,1
C2_D1,27,color_00031.png,2.3162,1.9012,4.1811,6.9970,48.82,48.9335,0,2.0468,2.1356,0,0,0,0,1
C2_D1,28,color_00032.png,2.1906,2.0800,3.8265,6.1027,15.23,15.6194,0,2.0192,2.0699,0,0,0,0,1
C2_D1,29,color_00033.png,1.6485,1.0884,3.3707,177.9822,2525.22,2526.5229,0,1.5092,1.3410,1,1,1,1,1
C2_D1,30,color_00034.png,1.6602,1.1049,3.2484,5.7465,24.83,25.0003,0,1.3810,1.3134,0,0,0,0,1
C2_D1,31,color_00035.png,2.7276,2.7199,3.7638,176.5324,2581.22,2582.5518,0,2.6002,2.5242,1,1,1,1,1
C2_D1,32,color_00036.png,1.8129,1.4652,2.6075,3.8590,38.14,38.1935,0,1.6223,1.6613,0,0,0,0,1
C2_D1,33,color_00037.png,1.0594,0.7517,2.2398,180.0000,2398.07,2399.3632,0,1.0555,0.9551,1,1,1,1,1
C2_D1,34,color_00038.png,2.0733,1.9395,3.2232,178.6629,2397.55,2398.7961,0,1.4428,1.2132,1,1,1,1,1
C2_D1,35,color_00039.png,1.2791,1.2970,2.2376,179.1685,2378.86,2380.0897,0,0.9442,0.8461,1,1,1,1,1
C2_D1,36,color_00040.png,1.8134,1.6416,2.8814,178.9337,2400.45,2401.6689,0,1.3028,1.1301,1,1,1,1,1
C2_D1,37,color_00041.png,1.4578,1.1545,2.0998,178.2629,2559.22,2560.4100,0,1.2125,1.1307,1,1,1,1,1
C2_D1,38,color_00042.png,1.8895,1.8207,2.9869,179.0011,2597.49,2598.7105,0,1.6649,1.5265,1,1,1,1,1
C2_D1,39,color_00043.png,1.4616,1.4503,2.4740,179.0317,2586.81,2588.0512,0,1.0532,0.8712,1,1,1,1,1
C3_D0_noise,20,color_00024.png,14.1381,11.3796,23.3063,178.8480,3457.38,3458.4235,0,11.0065,9.3911,1,1,1,1,1
C3_D0_noise,21,color_00025.png,398.9669,391.2134,448.2657,149.2865,1040.39,1041.0788,0,401.2046,396.6361,1,1,0,0,1
C3_D0_noise,22,color_00026.png,8.4588,5.3235,17.6777,31.1949,202.25,202.5721,0,8.1672,7.8423,0,0,0,0,1
C3_D0_noise,23,color_00027.png,480.0716,477.7245,503.2745,166.7647,1407.38,1408.7373,0,11285.2952,1550.8242,1,1,1,0,1
C3_D0_noise,24,color_00028.png,6.0127,5.5080,10.7322,17.1042,123.02,123.5154,0,5.1857,4.9549,0,0,0,0,1
C3_D0_noise,25,color_00029.png,4.7852,4.6554,7.6198,10.2723,136.86,136.9237,0,3.8390,3.7176,0,0,0,0,1
C3_D0_noise,26,color_00030.png,2.7984,2.0855,4.7023,178.1460,2525.61,2526.9832,0,2.1892,1.9729,1,1,1,1,1
C3_D0_noise,27,color_00031.png,2.4048,2.9093,3.5365,6.8700,26.20,26.3857,0,1.7428,1.5876,0,0,0,0,1
C3_D0_noise,28,color_00032.png,2.4058,1.9345,4.0880,178.8140,2472.22,2473.5543,0,2.0226,2.0341,1,1,1,1,1
C3_D0_noise,29,color_00033.png,2.7406,2.4312,4.3430,177.5806,2470.48,2471.7959,0,2.4665,2.6091,1,1,1,1,1
C3_D0_noise,30,color_00034.png,2.5794,1.8737,4.6424,6.6922,5.53,6.6689,1,2.3034,2.0652,0,0,0,0,1
C3_D0_noise,31,color_00035.png,1.9894,2.2691,3.6326,3.9484,48.49,48.5293,0,1.6654,1.5833,0,0,0,0,1
C3_D0_noise,32,color_00036.png,1.9332,1.9658,2.9568,5.1306,15.23,15.4052,0,1.4655,1.4490,0,0,0,0,1
C3_D0_noise,33,color_00037.png,3.1118,3.0222,4.3693,7.3833,5.69,6.9517,1,2.6783,2.8125,0,0,0,0,1
C3_D0_noise,34,color_00038.png,3.6734,3.8300,4.8413,6.7650,25.11,25.5081,0,3.0580,3.2438,0,0,0,0,1
C3_D0_noise,35,color_00039.png,3.8256,3.9975,6.4574,10.4852,73.64,73.8984,0,3.1452,3.2876,0,0,0,0,1
C3_D0_noise,36,color_00040.png,2.5946,2.6999,3.9575,6.5959,56.20,56.3418,0,2.1081,2.1605,0,0,0,0,1
C3_D0_noise,37,color_00041.png,3.6235,3.1600,6.0560,11.6923,36.47,36.9444,0,3.3677,3.3461,0,0,0,0,1
C3_D0_noise,38,color_00042.png,4.1947,3.7005,6.2254,12.7661,60.48,60.7567,0,3.6138,3.6884,0,0,0,0,1
C3_D0_noise,39,color_00043.png,3.2182,3.2870,5.0521,9.8244,49.98,50.1766,0,2.8537,3.0121,0,0,0,0,1
C4_D1_noise,20,color_00024.png,16.6344,16.3355,25.9489,166.4608,3396.12,3397.2601,0,13.9258,13.3707,1,1,1,0,1
C4_D1_noise,21,color_00025.png,397.8726,391.1212,447.8999,86.8980,3046.13,3046.4322,0,399.9568,395.4462,0,0,0,0,1
C4_D1_noise,22,color_00026.png,11.6550,7.1138,22.9523,161.4696,1414.67,1416.4519,0,14522.4613,1388.1885,1,1,1,0,1
C4_D1_noise,23,color_00027.png,480.0716,477.7245,503.2745,166.7647,1407.38,1408.7373,0,11285.2952,1550.8242,1,1,1,0,1
C4_D1_noise,24,color_00028.png,7.4641,7.8239,11.9710,170.5040,2625.52,2626.8593,0,6.5178,6.1277,1,1,1,1,1
C4_D1_noise,25,color_00029.png,4.7548,4.2727,7.1804,9.7733,125.10,125.1671,0,4.2910,4.0617,0,0,0,0,1
