arm,image_id,rgb,mean_dx,mean_dy,std_dx,std_dy,mean_residual_norm_px,cov_xx,cov_xy,cov_yy,eig_max,eig_min,anisotropy_ratio,coherent_shift_norm_px,relative_scatter_mean_px,relative_scatter_p90_px,flip_gt_90,kp_mean_px,kp_median_px,mean_reprojection_error_px,rotation_error_deg
D1,28,color_00032.png,1.382182,-0.621720,1.208636,1.771947,2.190560,1.460802,1.257921,3.139797,3.812623,0.787976,4.838502,1.515573,1.636485,3.170194,0,2.190600,2.080000,2.019200,6.102700
D1,29,color_00033.png,0.611759,-0.462262,0.997656,1.657459,1.648537,0.995317,0.482353,2.747170,2.871200,0.871287,3.295353,0.766769,1.549538,2.923545,1,1.648500,1.088400,1.509200,177.982200
D1,30,color_00034.png,0.466682,-0.219174,1.174524,1.701859,1.660202,1.379507,1.708746,2.896323,4.007406,0.268425,14.929337,0.515586,1.561456,3.197024,0,1.660200,1.104900,1.381000,5.746500
D1,31,color_00035.png,2.127719,-0.518504,1.470223,1.651315,2.727638,2.161554,0.906158,2.726841,3.393413,1.494983,2.269868,2.189985,1.765794,2.984172,1,2.727600,2.719900,2.600200,176.532400
D1,32,color_00036.png,1.302544,-0.033102,1.284816,1.219272,1.812942,1.650753,0.947820,1.486623,2.520054,0.617321,4.082240,1.302965,1.370464,2.556047,0,1.812900,1.465200,1.622300,3.859000
D1,33,color_00037.png,-0.244917,-0.149865,1.199656,0.639615,1.059412,1.439173,-0.034633,0.409107,1.440336,0.407944,3.530721,0.287131,0.972116,2.130685,1,1.059400,0.751700,1.055500,180.000000
D1,34,color_00038.png,-0.311625,0.810462,1.874178,1.301331,2.073284,3.512544,-1.416909,1.693461,4.286717,0.919288,4.663085,0.868308,1.985270,2.690379,1,2.073300,1.939500,1.442800,178.662900
D1,35,color_00039.png,0.099358,0.599625,1.097255,0.982940,1.279110,1.203969,0.149902,0.966170,1.276401,0.893738,1.428161,0.607801,1.196523,2.155008,1,1.279100,1.297000,0.944200,179.168500
D1,36,color_00040.png,0.319933,0.963793,1.065992,1.510299,1.813393,1.136340,-0.332159,2.281002,2.370406,1.046936,2.264136,1.015506,1.470246,2.780895,1,1.813400,1.641600,1.302800,178.933700
D1,37,color_00041.png,-0.030094,-0.560196,1.118853,1.081739,1.457804,1.251832,-0.090394,1.170159,1.310185,1.111805,1.178430,0.561004,1.324299,2.192624,1,1.457800,1.154500,1.212500,178.262900
D1,38,color_00042.png,-0.262438,-1.015922,0.883172,1.757508,1.889525,0.779992,0.113576,3.088835,3.094408,0.774419,3.995781,1.049271,1.573432,3.013353,1,1.889500,1.820700,1.664900,179.001100
D1,39,color_00043.png,0.258609,-0.369279,1.142122,1.198001,1.461645,1.304442,0.008778,1.435208,1.435794,1.303855,1.101192,0.450828,1.360879,2.211057,1,1.461600,1.450300,1.053200,179.031700
