condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C1_D0_real,control,,30,color_00034.png,9.3976,21.79,22.1992,2.2536,0,0,0,0,2.666643,0.201033,2.465609,3.055752,2.666641,1.576839,2.2043,4.5727,2.2043,0,0,0,1
C1_D0_real,control,,31,color_00035.png,3.5995,36.33,36.3702,1.2956,0,0,0,0,1.565301,0.256113,1.309188,1.746542,1.565303,1.175680,1.4653,2.4486,1.4653,0,0,0,1
C1_D0_real,control,,32,color_00036.png,4.9872,20.76,20.8787,1.2906,0,0,0,0,1.601124,0.306850,1.294274,1.793952,1.601125,0.915604,1.2437,2.6411,1.2437,0,0,0,1
C1_D0_real,control,,33,color_00037.png,6.5717,37.49,37.6580,2.4986,0,0,0,0,2.876114,0.308048,2.568066,3.056939,2.876114,2.073688,2.9249,4.1294,2.9249,0,0,0,1
C1_D0_real,control,,34,color_00038.png,7.2638,29.80,30.1641,2.7390,0,0,0,0,3.396210,0.594529,2.801680,3.593066,3.396212,1.818067,3.7472,4.4522,3.7472,0,0,0,1
C1_D0_real,control,,35,color_00039.png,9.5098,62.19,62.4112,2.7158,0,0,0,0,3.182493,0.514345,2.668147,3.566429,3.182495,1.583968,2.8674,4.9188,2.8674,0,0,0,1
C1_D0_real,control,,36,color_00040.png,9.1589,57.28,57.5426,2.6806,0,0,0,0,3.102673,0.367699,2.734974,3.479079,3.102674,1.343553,3.4134,4.8617,3.4134,0,0,0,1
C1_D0_real,control,,37,color_00041.png,9.7482,46.35,46.5903,2.7882,0,0,0,0,2.996508,0.526232,2.470276,3.364686,2.996515,2.132134,2.8416,4.6468,2.8416,0,0,0,1
C1_D0_real,control,,38,color_00042.png,10.9441,31.04,31.4385,3.2345,0,0,0,0,3.494648,0.420962,3.073686,3.807877,3.494650,2.600671,3.3593,5.2492,3.3593,0,0,0,1
C1_D0_real,control,,39,color_00043.png,176.2012,2547.65,2548.8718,2.6271,1,1,1,1,2.612415,0.855895,1.756520,2.969037,2.612415,1.765148,2.4061,4.2027,2.4061,0,0,0,1
