dataset,image_id,method,keypoint_id,error_px
linemod,29,D1,2,2.6290
linemod,29,D1,3,1.3589
linemod,29,D1,4,0.6498
linemod,29,D1,5,3.8304
linemod,29,D1,6,4.0568
linemod,29,D1,7,0.9419
linemod,29,D1,8,1.7195
linemod,30,D0,0,0.7988
linemod,30,D0,1,2.4358
linemod,30,D0,2,1.9570
linemod,30,D0,3,1.7552
linemod,30,D0,4,0.8177
linemod,30,D0,5,2.6561
linemod,30,D0,6,2.7464
linemod,30,D0,7,1.2851
linemod,30,D0,8,1.5046
linemod,30,D1,0,1.4713
linemod,30,D1,1,2.5363
linemod,30,D1,2,1.6983
linemod,30,D1,3,2.4727
linemod,30,D1,4,1.6236
linemod,30,D1,5,3.1922
linemod,30,D1,6,2.8490
linemod,30,D1,7,1.0471
linemod,30,D1,8,1.5864
linemod,31,D0,0,0.3947
linemod,31,D0,1,2.4962
linemod,31,D0,2,1.1332
linemod,31,D0,3,1.7684
linemod,31,D0,4,2.7043
linemod,31,D0,5,0.7796
linemod,31,D0,6,1.7442
linemod,31,D0,7,1.9890
linemod,31,D0,8,1.4092
linemod,31,D1,0,1.0012
linemod,31,D1,1,2.6497
linemod,31,D1,2,1.0593
linemod,31,D1,3,2.2726
linemod,31,D1,4,2.3419
linemod,31,D1,5,1.0405
linemod,31,D1,6,1.6484
linemod,31,D1,7,1.7520
linemod,31,D1,8,1.3529
linemod,32,D0,0,2.1048
linemod,32,D0,1,1.6479
linemod,32,D0,2,1.7794
linemod,32,D0,3,1.5541
linemod,32,D0,4,1.8651
linemod,32,D0,5,2.0476
linemod,32,D0,6,2.4326
linemod,32,D0,7,1.6896
linemod,32,D0,8,2.0216
linemod,32,D1,0,1.3915
linemod,32,D1,1,1.8280
linemod,32,D1,2,1.2957
linemod,32,D1,3,1.2496
linemod,32,D1,4,1.2331
linemod,32,D1,5,1.8268
linemod,32,D1,6,2.4628
linemod,32,D1,7,1.4118
linemod,32,D1,8,1.7690
linemod,33,D0,0,3.0526
linemod,33,D0,1,2.0972
linemod,33,D0,2,1.5966
linemod,33,D0,3,2.1680
linemod,33,D0,4,1.7588
linemod,33,D0,5,2.6302
linemod,33,D0,6,2.1511
linemod,33,D0,7,1.9168
linemod,33,D0,8,2.3655
linemod,33,D1,0,2.2699
linemod,33,D1,1,2.0903
linemod,33,D1,2,1.1164
linemod,33,D1,3,1.5210
linemod,33,D1,4,0.5975
linemod,33,D1,5,2.1986
linemod,33,D1,6,1.9780
linemod,33,D1,7,1.5627
linemod,33,D1,8,1.9170
linemod,34,D0,0,2.6571
linemod,34,D0,1,1.1225
linemod,34,D0,2,1.4404
linemod,34,D0,3,1.9039
linemod,34,D0,4,1.4463
linemod,34,D0,5,1.8333
linemod,34,D0,6,1.1790
linemod,34,D0,7,2.1167
linemod,34,D0,8,1.9247
linemod,34,D1,0,1.8702
linemod,34,D1,1,1.1900
linemod,34,D1,2,0.8610
linemod,34,D1,3,1.2772
linemod,34,D1,4,0.2676
linemod,34,D1,5,1.3952
linemod,34,D1,6,1.1250
linemod,34,D1,7,1.7820
linemod,34,D1,8,1.5415
linemod,35,D0,0,2.3005
linemod,35,D0,1,0.7227
linemod,35,D0,2,1.8993
linemod,35,D0,3,0.7963
linemod,35,D0,4,1.5912
linemod,35,D0,5,1.5541
linemod,35,D0,6,0.7667
linemod,35,D0,7,1.2360
linemod,35,D0,8,1.3144
linemod,35,D1,0,2.7006
linemod,35,D1,1,0.8389
linemod,35,D1,2,2.0339
linemod,35,D1,3,1.3253
linemod,35,D1,4,0.8744
linemod,35,D1,5,2.2157
linemod,35,D1,6,1.1998
linemod,35,D1,7,1.0986
linemod,35,D1,8,1.4481
linemod,36,D0,0,1.2054
linemod,36,D0,1,1.1601
linemod,36,D0,2,0.7716
linemod,36,D0,3,1.1807
linemod,36,D0,4,0.1373
linemod,36,D0,5,0.9571
linemod,36,D0,6,0.8631
linemod,36,D0,7,0.7907
linemod,36,D0,8,0.0496
linemod,36,D1,0,1.2511
linemod,36,D1,1,0.9663
linemod,36,D1,2,1.3607
linemod,36,D1,3,1.1701
linemod,36,D1,4,0.9430
linemod,36,D1,5,1.0395
linemod,36,D1,6,0.6091
linemod,36,D1,7,1.3216
linemod,36,D1,8,0.4672
linemod,37,D0,0,2.2174
linemod,37,D0,1,0.8554
linemod,37,D0,2,0.6679
linemod,37,D0,3,0.0952
linemod,37,D0,4,0.2285
linemod,37,D0,5,0.8010
linemod,37,D0,6,0.8614
linemod,37,D0,7,0.5558
linemod,37,D0,8,0.2522
linemod,37,D1,0,1.1421
linemod,37,D1,1,0.6325
linemod,37,D1,2,0.4080
linemod,37,D1,3,0.5853
linemod,37,D1,4,0.7498
linemod,37,D1,5,0.5905
linemod,37,D1,6,0.6173
linemod,37,D1,7,0.5750
linemod,37,D1,8,0.2599
linemod,38,D0,0,1.5515
linemod,38,D0,1,1.3219
linemod,38,D0,2,1.3593
linemod,38,D0,3,0.1930
linemod,38,D0,4,1.0283
linemod,38,D0,5,1.7632
linemod,38,D0,6,2.4057
linemod,38,D0,7,0.3870
linemod,38,D0,8,0.6850
linemod,38,D1,0,1.3333
linemod,38,D1,1,1.3171
linemod,38,D1,2,2.7920
linemod,38,D1,3,0.4225
linemod,38,D1,4,0.9443
linemod,38,D1,5,1.4807
linemod,38,D1,6,2.3734
linemod,38,D1,7,0.5401
linemod,38,D1,8,1.0997
linemod,39,D0,0,0.8410
linemod,39,D0,1,0.7774
linemod,39,D0,2,0.2822
linemod,39,D0,3,0.5711
linemod,39,D0,4,0.2433
linemod,39,D0,5,0.4715
linemod,39,D0,6,0.3685
linemod,39,D0,7,0.5545
linemod,39,D0,8,0.1964
linemod,39,D1,0,0.3313
linemod,39,D1,1,0.5754
linemod,39,D1,2,1.2633
linemod,39,D1,3,1.0464
linemod,39,D1,4,0.4542
linemod,39,D1,5,0.3711
linemod,39,D1,6,0.5083
linemod,39,D1,7,1.0897
linemod,39,D1,8,0.6143
occ,20,D0,0,9.4814
occ,20,D0,1,27.9311
occ,20,D0,2,12.8198
occ,20,D0,3,3.9849
occ,20,D0,4,15.1860
occ,20,D0,5,12.5723
occ,20,D0,6,13.3219
occ,20,D0,7,21.2074
occ,20,D0,8,10.2462
occ,20,D1,0,24.5398
occ,20,D1,1,26.9732
occ,20,D1,2,7.5901
occ,20,D1,3,5.1290
occ,20,D1,4,16.2163
occ,20,D1,5,9.1976
occ,20,D1,6,18.6802
occ,20,D1,7,23.3946
occ,20,D1,8,12.2019
occ,21,D0,0,456.8869
occ,21,D0,1,340.6267
occ,21,D0,2,383.0316
occ,21,D0,3,448.5043
occ,21,D0,4,391.2730
occ,21,D0,5,422.7208
occ,21,D0,6,381.6788
occ,21,D0,7,365.3522
occ,21,D0,8,402.3811
occ,21,D1,0,448.6241
occ,21,D1,1,342.0052
occ,21,D1,2,381.7718
occ,21,D1,3,450.1213
occ,21,D1,4,391.1811
occ,21,D1,5,422.1156
occ,21,D1,6,380.5845
occ,21,D1,7,364.5637
occ,21,D1,8,401.6478
occ,22,D0,0,9.5715
occ,22,D0,1,2.1799
occ,22,D0,2,19.0633
occ,22,D0,3,6.7986
occ,22,D0,4,2.2990
occ,22,D0,5,18.4651
occ,22,D0,6,5.4821
occ,22,D0,7,4.9463
occ,22,D0,8,5.9049
occ,22,D1,0,19.7681
occ,22,D1,1,2.2407
occ,22,D1,2,29.7051
occ,22,D1,3,7.6554
occ,22,D1,4,2.6738
