split,method,count,mean_deg,median_deg,p90_deg
linemod,baseline,440940,2.969,1.699,6.046
linemod,blind,440940,0.362,0.001,0.925
linemod,oracle_valid,410410,1.099,0.001,2.009
occ,baseline,250033,5.121,2.822,10.901
occ,blind,250033,0.569,0.001,1.393
occ,oracle_valid,199797,1.798,0.098,4.019
